Date,Total_new_patients,Total_patients_died,Total_patients_cured,Number_of_ventilators_idle,Number_of_ICUs_available,Average_cost_without_ventilator,Average_cost_with_ventilator,Average_cost_isolation,Total_oxygen_supply_tonnes,Total_bed_supply,Total_vaccination_doses_available
2021-06-27,48,4,26,6,48,1293.7784449884387,1112.6048511703877,296.1568143846236,0.7036330210858144,92,83
2021-06-26,26,15,22,51,4,1522.0903593903624,2008.0017554669296,662.4071166213446,3.113668358777366,0,17
2021-06-25,72,6,24,47,5,2103.455329584297,2029.1626280951136,2090.888320976534,5.303430474347692,69,76
2021-06-24,70,1,17,44,67,2486.6545166249794,2075.2187736132737,2504.019685568827,7.317619670204911,99,72
2021-06-23,18,14,4,41,94,6623.1595172534235,3692.1510446366074,2893.9453101364165,8.208382467429075,43,42
2021-06-22,28,9,26,70,35,7702.579373545151,6650.393285947447,4087.1648203220375,23.473169663037552,74,81
2021-06-21,38,6,18,74,46,8379.361812496269,6942.773206554465,4697.847366336665,23.65677728039359,23,18
2021-06-20,13,1,0,71,68,8938.127121823722,11509.367088394465,5071.937145078291,27.02660210696941,94,48
2021-06-19,72,11,4,75,84,10358.228596956344,12054.587958009492,6043.972620743818,29.466352630026993,73,28
2021-06-18,39,1,22,49,42,13707.678371523481,13638.398617607067,6824.202046025241,36.49537794791896,7,56
2021-06-17,60,3,27,56,80,14820.514394851727,14868.648325665847,7727.211331069492,37.1355184238772,3,18
2021-06-16,14,10,21,27,12,19871.408052680403,14904.954970526385,9124.733827697271,38.42608829110819,75,90
2021-06-15,99,11,10,64,72,20301.17761774805,17564.05511711023,9360.920559595746,47.55494616036023,48,25
2021-06-14,61,14,19,61,96,20685.03637362938,18014.840331736636,10154.99381120112,49.43249531059322,97,96
2021-06-13,23,7,23,15,72,21548.79359268899,19461.35771004282,10194.519700826662,50.57144869649848,33,88
2021-06-12,79,7,25,83,13,22462.604504045066,20005.85679585243,10934.249558939115,50.766824941150446,0,32
2021-06-11,7,13,5,39,80,22855.827233199354,21080.327174367918,12584.01117565611,52.376974901414705,10,18
2021-06-10,90,7,22,67,43,23677.055094044917,23913.660159674404,12590.5118987154,57.39835577981426,62,10
2021-06-09,76,8,17,74,66,23956.989454977855,25109.712565352398,13796.526685571052,59.45334571027906,5,96
2021-06-08,31,8,8,83,9,24094.90179989011,25541.89620874491,16085.124437706112,59.77099442710707,99,6
2021-06-07,24,12,13,96,46,25769.6048148164,27544.542465542483,17045.285172693548,64.69074777754301,14,33
2021-06-06,67,18,27,88,45,26474.56704127623,27564.18714798572,17272.19141760661,71.48654381600966,36,27
2021-06-05,60,17,22,12,42,26952.74389570045,27737.858802466777,18200.482242394428,74.5310280043359,2,66
2021-06-04,30,16,16,60,74,27320.81263681844,30608.864566216882,20341.154954492824,77.51635292431092,24,0
2021-06-03,60,19,2,76,70,27369.85174088935,30858.868703450116,20775.28680284739,84.13311959818857,25,35
2021-06-02,82,16,13,50,29,27927.536999627395,31831.838370181653,21504.228825763243,87.94766726417038,75,62
2021-06-01,79,5,2,87,56,31026.140450543746,34938.54894777337,21591.270344430992,90.37343333550365,39,8
2021-05-31,65,1,2,43,74,31236.513444378612,37078.645163635614,22232.99767558838,94.72489684513025,3,85
2021-05-30,89,18,9,26,26,31401.818314091495,39846.417371839445,23628.38329912977,97.61177080736837,49,97
2021-05-29,96,16,10,1,31,33431.777033731894,40357.213476613295,23885.29384934894,99.68475781742583,83,90
