Date,Total_new_patients,Total_patients_died,Total_patients_cured,Number_of_ventilators_idle,Number_of_ICUs_available,Average_cost_without_ventilator,Average_cost_with_ventilator,Average_cost_isolation,Total_oxygen_supply_tonnes,Total_bed_supply,Total_vaccination_doses_available
2021-06-26,83,17,19,55,73,108.12354021440117,561.224046961708,541.2242613628005,3.609059534723058,99,54
2021-06-25,91,4,0,71,18,602.808098164578,1689.636405727491,1024.3796137861887,10.951596807092956,89,84
2021-06-24,40,9,4,72,7,610.293577937195,1904.9073753984626,1749.2766642409895,13.978449580036845,32,61
2021-06-23,84,2,1,87,51,1400.755168070812,1954.8496183983018,1767.4691058761507,14.598374949083837,16,96
2021-06-22,5,18,9,45,93,1571.4686269718593,1963.954175601533,2018.474830020672,26.706226995122517,2,9
2021-06-21,81,3,27,35,45,4097.376124334955,5745.476623620446,2121.113037460597,32.442225223445064,0,70
2021-06-20,62,16,14,46,41,5939.410176826201,11257.370776418627,2738.455012086499,36.224956991449766,42,88
2021-06-19,18,16,20,81,16,6492.1740803746525,12762.615446970383,3143.6802942810377,38.035295287749804,87,8
2021-06-18,12,10,7,77,53,6864.805629815185,13686.946903590233,3322.5858453465776,38.810305223466756,18,44
2021-06-17,53,8,0,33,84,8789.166338651747,14191.044092495886,4287.2753539173,40.024594717392624,12,37
2021-06-16,80,16,21,71,28,10909.572489262131,19999.591279677734,9555.516229661156,40.551027651146775,53,82
2021-06-15,26,7,16,67,21,11418.826743889407,21175.757111024763,10287.836998132245,44.66546749240802,5,26
2021-06-14,21,6,9,65,84,13247.23428028505,22769.686225935915,11439.4265353482,48.8759600206554,75,38
2021-06-13,23,14,11,23,82,15166.555020158894,24357.233867680323,11495.736222618283,50.271190189212156,18,62
2021-06-12,89,14,15,65,78,20056.039447750252,24762.281282252527,11815.969815790118,50.71648270556447,73,63
2021-06-11,27,6,14,0,23,21678.15164486325,29028.362526713838,12239.343860850779,51.48578656916485,90,62
2021-06-10,44,5,22,78,71,22500.126654220538,30861.883772797162,12730.629728006868,55.18109755736064,41,0
2021-06-09,29,16,7,88,10,23814.669986678437,32370.338178809085,12792.334245059172,55.9308511589399,66,35
2021-06-08,25,12,7,2,19,23847.312598191165,32861.96990878353,14443.464531191059,56.770847536534355,94,38
2021-06-07,79,18,17,84,11,24081.60650746534,33495.93127369676,15370.106209027315,57.632464361281976,47,59
2021-06-06,5,13,6,10,91,24818.18959369086,33687.82018273142,17025.035395617564,60.87374841054104,0,19
2021-06-05,32,2,27,30,17,25271.193137086793,34431.179892163986,18290.344834487783,64.95304319956693,8,49
2021-06-04,41,4,16,69,74,26117.96294814598,34993.36272528275,19458.811205180504,69.71374061983163,2,50
2021-06-03,48,18,23,49,38,27665.60570274685,36701.72891763679,20692.680625510566,72.37913985146773,69,48
2021-06-02,23,1,24,37,79,27697.848147441142,38035.342159937354,20950.655828578583,75.32999945415133,85,52
2021-06-01,28,6,8,25,67,27708.130180372405,39886.66247985602,21107.64540575659,75.35007605560835,54,12
2021-05-31,31,6,26,53,88,29328.73949677731,40012.855040307964,22374.57762461109,85.60730995358195,42,65
2021-05-30,70,19,26,89,2,31057.301828628893,42475.892427066545,22968.619110739768,85.90006256806087,48,46
2021-05-29,51,17,11,71,26,31867.64110923838,43127.52682241279,22978.943784147083,86.59949736204018,4,21
2021-05-28,51,15,10,87,35,32082.176176771074,43633.77477950903,23626.840229116086,98.45592617635026,89,33
