Date,Total_new_patients,Total_patients_died,Total_patients_cured,Number_of_ventilators_idle,Number_of_ICUs_available,Average_cost_without_ventilator,Average_cost_with_ventilator,Average_cost_isolation,Total_oxygen_supply_tonnes,Total_bed_supply,Total_vaccination_doses_available
2021-06-27,98,1,29,75,37,289.42982673746087,2712.3890086920806,49.62920303582674,4.191366398769702,64,12
2021-06-26,90,12,26,59,65,460.3608908804118,5469.649321180382,1402.0572716460179,8.42535848153424,72,93
2021-06-25,2,17,23,80,97,2314.7517899160835,6895.132529976889,3395.2151396670843,14.21591013576381,66,47
2021-06-24,1,3,13,9,68,2721.6978213051466,7286.645981997226,3935.657026524213,15.810047230294478,9,99
2021-06-23,41,12,29,3,39,4205.139320557839,7856.84085971979,4002.1728689933,16.029398605579036,88,5
2021-06-22,14,3,26,26,28,4912.145282358121,8930.578275015054,4859.958659596684,17.6325464361641,81,74
2021-06-21,60,13,13,30,19,9364.1087307619,10666.235137489346,6630.609955476053,27.392199050385667,39,87
2021-06-20,10,19,9,45,98,11462.546389146715,11608.756148421222,7102.351171875708,31.075932485118308,6,62
2021-06-19,18,0,12,54,97,13270.867798289957,11849.244237517376,8683.63641477319,32.695321329008976,82,79
2021-06-18,11,17,12,28,15,14961.439989184471,15107.651345036404,9068.644807067481,36.33700068040609,66,41
2021-06-17,78,3,4,7,74,15008.258790139305,15250.078078392778,9907.715038075552,43.05389641529952,4,25
2021-06-16,89,14,11,70,76,15020.755717815962,16666.628819322992,10213.949519344938,49.182128582678665,45,67
2021-06-15,71,5,2,21,32,15026.248461321362,17868.325703333572,10709.523756113658,50.611937928102144,44,68
2021-06-14,79,18,16,26,59,15115.878073511687,18985.215907225196,11551.128380128632,51.28827048131264,57,28
2021-06-13,91,9,11,53,9,16046.301443609147,20334.48654435424,11873.647173428233,59.300124672123964,55,7
2021-06-12,92,2,6,72,26,16906.687312657905,21110.9342782361,12176.877566433825,61.301200381659285,6,57
2021-06-11,20,0,16,14,55,17894.572787628094,21440.875856344916,13708.702777649096,65.46583416659601,32,43
2021-06-10,26,5,21,63,91,18402.619495119357,28241.243818573592,14488.894680186366,66.1015431811982,92,94
2021-06-09,29,11,11,41,40,19989.869883444582,28252.146653466996,15347.61005353294,68.43568281438132,55,48
2021-06-08,42,11,2,48,1,20914.302188155143,28762.444765312895,15734.870384763812,77.23801131521456,29,79
2021-06-07,85,11,6,31,69,21135.70431640122,29195.886545480593,16144.37431216117,78.82899945239164,90,18
2021-06-06,79,17,17,19,67,21267.80171969375,31427.0840496058,16235.544910333225,79.46805339977367,91,29
2021-06-05,78,7,2,67,5,21268.002586117575,32729.32787997055,18381.682826563585,80.22055357187286,29,45
2021-06-04,75,19,9,39,52,27206.0521686877,33651.69176361686,19583.584260914227,81.25156070559163,1,30
2021-06-03,10,5,9,55,37,28021.645363776406,34040.91381377774,19667.499572189052,86.52135362227583,8,84
2021-06-02,22,8,24,14,49,30528.761027880562,36728.66654174333,21096.130436031566,91.19482922278327,17,62
2021-06-01,29,18,18,18,16,31259.06339083303,38501.34850740244,21406.542515516532,95.99428818618655,10,56
2021-05-31,45,2,25,11,81,31834.082666785733,39547.258762852245,21453.26575344936,97.39164999713286,48,88
2021-05-30,66,1,12,4,98,32315.751964219875,41525.649773123325,22750.16845554524,98.24168201263718,25,42
2021-05-29,28,15,7,71,24,33192.968340863656,43244.66779533559,22985.988214675162,98.26162993932147,76,57
